item,topic01,topic02,topic03,topic04,primary_factor,facet,reverse,secondary_factor,facet,"reverse
",type1,type2,type3,WX,WX,NX,WY,WX,WX,WY,NY,WX,NX,WY,WY,NY,WX,NX,WY,WX,WY,NX,WX,WY,WY,WX,NY,WX,WY,WX,NY,WY,WX,NX,WX,WY,WX,WY,WX,NX,WY,WY,WX,NY,WX,WY,NX,WX,WY,WX,NY,NX,NY
"Saying ""thank you"" when someone holds the door.",In Public,Service,,,Extraversion,Positive Emotions,TRUE,Agreeableness,Compliance,TRUE,,,,1,1,0.5,0.5,1,1,0.5,0,1,0.5,0.5,0.5,0,1,0.5,0.5,1,0.5,0.5,1,0.5,0.5,1,0,1,0.5,1,0,0.5,1,0.5,1,0.5,1,0.5,1,0.5,0.5,0.5,1,0,1,0.5,0.5,1,0.5,1,0,0.5,0
"Low talking, or talking at a volume that's hard to hear.",Personal,Friends,Habits,,Natural_Reactions,Self-Consciousness,TRUE,Extraversion,Assertiveness,FALSE,,,,0,0,0,-0.5,0,-0.5,-0.5,-0.5,0,0,-0.5,-0.5,-0.5,0,0,-0.5,0,-0.5,0,0,-0.5,-0.5,0,-0.5,0,-0.5,0,-0.5,-0.5,0,0,0,-0.5,0,-0.5,0,0,-0.5,-0.5,0,-0.5,0,-0.5,0,0,-0.5,0,-0.5,0,-0.5
Standing close to a stranger in public.,In Public,,,,Extraversion,Gregariousness,TRUE,Agreeableness,Modesty,FALSE,,,,1,1,0.5,0.5,1,0,0.5,0,1,0.5,0.5,0.5,0,1,0.5,0.5,1,0.5,0.5,1,0.5,0.5,1,0,1,0.5,1,0,0.5,1,0.5,1,0.5,1,0.5,1,0.5,0.5,0.5,1,0,1,0.5,0.5,1,0.5,1,0,0.5,0
Making out with someone in an elevator with other people there.,Love & Sex,In Public,,,Openness,Willingness to Experiment,TRUE,Extraversion,Excitement-Seeking,TRUE,Relationship,,,0,0,-0.5,0.5,0,-1,0.5,0,0,-0.5,0.5,0.5,0,0,-0.5,0.5,0,0.5,-0.5,0,0.5,0.5,0,0,0,0.5,0,0,0.5,0,-0.5,0,0.5,0,0.5,0,-0.5,0.5,0.5,0,0,0,0.5,-0.5,0,0.5,0,0,-0.5,0
Having a loud conversation on the elevator.,In Public,Work,,,Extraversion,Activity Level,TRUE,Natural_Reactions,Self-Consciousness,FALSE,,,,0.5,-0.5,0,1,0.5,-0.5,1,0.5,0.5,0,1,1,0.5,0.5,0,1,0.5,1,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0,0.5,1,0.5,1,0.5,0,1,1,0.5,0.5,0.5,1,0,0.5,1,0.5,0.5,0,0.5
Nose picking in public.,Personal,Habits,,,Agreeableness,Compliance,FALSE,Natural_Reactions,Self-Consciousness,FALSE,Gross,,,-1,-1,-0.5,0,-1,-0.5,0,0,-0.5,-1,-1,-1,0,-0.5,-1,-1,-0.5,0,-0.5,-1,-1,0,-0.5,0,-1,0,-0.5,0,0,-1,-0.5,-0.5,0,-0.5,-1,-0.5,-0.5,0,0,-1,0,-0.5,0,-0.5,-0.5,-1,-0.5,0,-0.5,0
Going to a party when sick.,Play,Personal,,,Extraversion,Excitement-Seeking,TRUE,Agreeableness,Altruism,FALSE,,,,0.5,0.5,0,1,0.5,0.5,1,0.5,0.5,0,1,1,0.5,0.5,0,1,0.5,1,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0,0.5,1,0.5,1,0.5,0,1,1,0.5,0.5,0.5,1,0,0.5,1,0.5,0.5,0,0.5
Yelling to ask someone a question when they're in the bathroom.,Home & Family,Personal,,,Agreeableness,Modesty,FALSE,Extraversion,Assertiveness,TRUE,Funny,,,-1,-1,-0.5,-0.5,-1,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,-1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,0.5,-0.5,-1,-0.5,-0.5,-0.5,-0.5,0.5,-1,-0.5,-0.5,-0.5,-0.5,-0.5,-1,0.5,-0.5,-0.5,-0.5,-1,-0.5,-1,0.5,-0.5
Talking to a stranger in a public bathroom.,In Public,Personal,,,Extraversion,Assertiveness,TRUE,Natural_Reactions,Self-Consciousness,FALSE,Funny,,,0.5,0.5,0,1,0.5,0.5,1,0.5,0.5,0,1,1,0.5,0.5,0,1,0.5,1,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0,0.5,1,0.5,1,0.5,0,1,1,0.5,0.5,0.5,1,0,0.5,1,0.5,0.5,0,0.5
Making a phone call in the bathroom.,Internet Etc,Work,In Public,,Natural_Reactions,Self-Consciousness,FALSE,Extraversion,Assertiveness,TRUE,Funny,,,0,0,0,-0.5,0,0,-0.5,-0.5,0,0,-0.5,-0.5,-0.5,0,-1,-0.5,0,-0.5,0,0,-0.5,-0.5,0,-0.5,0,-1,0,-0.5,-0.5,0,0,-1,-0.5,0,-0.5,-1,0,-0.5,-0.5,0,-1,-1,-0.5,0,0,-0.5,0,-0.5,0,-1
Using a cute dog as an excuse to talk to the cute owner.,Love & Sex,Pets,In Public,,Extraversion,Assertiveness,TRUE,Agreeableness,Sincerity,FALSE,Funny,Relationship,,0.5,0.5,0,1,0.5,0.5,1,0.5,0.5,0,1,1,0.5,0.5,0,1,0.5,1,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0,0.5,1,0.5,1,0.5,0,1,1,0.5,0.5,0.5,1,0,0.5,1,0.5,0.5,0,0.5
Apologizing for your dog when they are aggressive.,Pets,In Public,,,Natural_Reactions,Self-Consciousness,TRUE,Extraversion,Warmth,TRUE,,,,0,0.5,0,-0.5,0,0,-0.5,-0.5,0,0,-0.5,-0.5,-0.5,0,0,-0.5,0,-0.5,0,0,-0.5,-0.5,0,-0.5,0,-0.5,0,-0.5,-0.5,0,0,0,-0.5,0,-0.5,0,0,-0.5,-0.5,0,-0.5,0,-0.5,0,0,-0.5,0,-0.5,0,-0.5
"Saying ""I'll call you"" after a bad date with no intention to call.",Love & Sex,,,,Agreeableness,Sincerity,FALSE,Extraversion,Assertiveness,FALSE,Ethical,Relationship,,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5,0.5,1,-0.5,0.5,0.5,0.5,-0.5,1,0.5,-0.5,0.5,1,1,0.5,0.5,-0.5,0.5,0.5,0.5,1,0.5,0.5,-0.5,1,1,0.5,-0.5,0.5,-0.5,1,0.5,0.5,1,-0.5,1,-0.5,1,-0.5,0.5,1,-0.5,1,-0.5
Farting out loud when family is around.,Home & Family,,,,Agreeableness,Modesty,FALSE,Natural_Reactions,Self-Consciousness,FALSE,Gross,,,-1,-0.5,-0.5,-0.5,-0.5,-1,-0.5,-0.5,-1,-0.5,-0.5,-0.5,-0.5,-1,-1,-0.5,-1,-0.5,-1,-0.5,-1,-1,-0.5,-1,-1,-0.5,-1,-0.5,-0.5,-0.5,-1,-1,-0.5,-1,-1,-1,-0.5,-1,-0.5,-1,-0.5,-1,-0.5,-1,-0.5,-0.5,-1,-0.5,-1,-0.5
Asking if anyone farted when there's a funny smell.,In Public,,,,Extraversion,Assertiveness,TRUE,Agreeableness,Sympathy,FALSE,Gross,,,-0.5,0.5,-0.5,1,-0.5,-0.5,0,0.5,-0.5,0,1,-0.5,0.5,0.5,0,1,-0.5,1,-0.5,0.5,1,-0.5,0,0.5,-0.5,1,-0.5,0,1,0.5,-0.5,0.5,1,-0.5,1,0.5,0,-0.5,1,-0.5,0,-0.5,1,-0.5,0.5,1,-0.5,0,0,-0.5
Posting about politics on social media.,Internet Etc,Friends,,,Agreeableness,Modesty,FALSE,Extraversion,Assertiveness,TRUE,,,,-0.5,-1,-0.5,0.5,0.5,-0.5,-1,0.5,-0.5,-0.5,0,-0.5,-0.5,0,-1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1,-0.5,-0.5,0,0,-1,-0.5,-0.5,-0.5,-1,-0.5,-0.5,-1,-1,-1,-0.5,-0.5,-0.5,-0.5,-0.5,-1,-0.5,-0.5,-1,-0.5,-0.5,-0.5,-1,-0.5
Talking about politics at a family holiday dinner.,Home & Family,Food & Drink,,,Openness,Intellectual Curiosity,TRUE,Conscientiousness,Cautiousness,FALSE,,,,0,0,-0.5,0.5,0,-0.5,0.5,0,-0.5,-0.5,0.5,0.5,0,0,-0.5,0.5,0,0.5,-0.5,0,0.5,0.5,0,0,0,0.5,0,0,0.5,0,-0.5,0,0.5,0,0.5,0,-0.5,0.5,0.5,0,0,0,0.5,-0.5,0,0.5,0,0,-0.5,0
Cutting off a car that's trying to merge.,In Public,,,,Extraversion,Assertiveness,TRUE,Agreeableness,Altruism,FALSE,Transport,,,0.5,0.5,0,1,0.5,0,1,0.5,0.5,0,1,1,0.5,0.5,0,1,0.5,1,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0,0.5,1,0.5,1,0.5,0,1,1,0.5,0.5,0.5,1,0,0.5,1,0.5,0.5,0,0.5
Letting a stranger buy drinks if they're cute.,Money,Love & Sex,Food & Drink,,Openness,Willingness to Experiment,TRUE,Natural_Reactions,Self-Consciousness,FALSE,Gendered,Age,Substances,0,1,-0.5,0.5,0,0,0.5,0,0,-0.5,0.5,0.5,0,0,-0.5,0.5,0,0.5,-0.5,0,0.5,0.5,0,0,0,0.5,0,0,0.5,0,-0.5,0,0.5,0,0.5,0,-0.5,0.5,0.5,0,0,0,0.5,-0.5,0,0.5,0,0,-0.5,0
Flirting with the bartender to get free drinks when you're not single.,Food & Drink,Service,Money,Love & Sex,Extraversion,Assertiveness,TRUE,Agreeableness,Sincerity,FALSE,Relationship,Substances,Age,0.5,-0.5,0,1,-0.5,0.5,-0.5,0.5,0.5,0,-1,-0.5,0.5,0.5,0,1,0.5,-1,0,0.5,1,1,0.5,0.5,0.5,1,0.5,-0.5,1,-0.5,0,-0.5,1,0.5,-0.5,-0.5,0,0.5,0,-0.5,-0.5,0.5,1,0,-0.5,-0.5,0.5,0.5,-0.5,0.5
Watching your kid get knocked down by another kid and saying nothing.,Home & Family,In Public,,,Agreeableness,Compliance,TRUE,Extraversion,Assertiveness,FALSE,Parental,,,0.5,0.5,0.5,0,0.5,0.5,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0.5,0,0.5,0.5,0,0,0.5,0,0.5,0,0.5,0,0,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0,0,0.5,0,0.5,0,0.5,0.5,0,0.5,0,0.5,0
Leaving a party without saying goodbye to friends.,Friends,Play,Play,,Extraversion,Assertiveness,TRUE,Agreeableness,Compliance,FALSE,Funny,,,-1,-0.5,-0.5,0,0.5,-0.5,-0.5,-1,-1,-0.5,-0.5,0.5,-0.5,-0.5,-1,-1,-0.5,-0.5,0.5,-0.5,-0.5,-1,-1,-0.5,-0.5,1,0.5,0.5,-0.5,-0.5,-1,-1,-0.5,-0.5,1,0.5,0.5,-0.5,-0.5,-1,-1,-0.5,0.5,-0.5,-0.5,-1,-1,-0.5,-0.5,0.5
Allowing yourself to be seated at a bad table even though you had reservations.,Play,Money,Food & Drink,,Extraversion,Assertiveness,FALSE,Natural_Reactions,Self-Consciousness,TRUE,,,,-0.5,-1,0.5,-1,-0.5,-0.5,-1,-0.5,-1,0,-1,-1,-0.5,-1,0,-1,-0.5,-1,0.5,-1,-1,-1,-1,-0.5,-1,-1,-0.5,-0.5,-1,-1,0.5,-0.5,-1,-1,-1,-0.5,0.5,-1,-1,-0.5,-0.5,-0.5,-1,0,-0.5,-1,-0.5,-1,0,-1
Sending food back at a restaurant because it may have gone bad.,Food & Drink,,,,Extraversion,Assertiveness,TRUE,Natural_Reactions,Self-Consciousness,FALSE,,,,0.5,0.5,0,1,0.5,0.5,1,0.5,0.5,0,1,1,0.5,0.5,0,1,0.5,1,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0,0.5,1,0.5,1,0.5,0,1,1,0.5,0.5,0.5,1,0,0.5,1,0.5,0.5,0,0.5
Making out with someone you just met in public.,Love & Sex,In Public,,,Extraversion,Excitement-Seeking,TRUE,Natural_Reactions,Anxiety,FALSE,Relationship,Funny,,0.5,0.5,0,1,0.5,0.5,1,0.5,0.5,0,1,1,0.5,0.5,0,1,0.5,1,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0,0.5,1,0.5,1,0.5,0,1,1,0.5,0.5,0.5,1,0,0.5,1,0.5,0.5,0,0.5
Exiting your row crotch-to-face on a plane.,Travel,,,,Extraversion,Assertiveness,TRUE,Agreeableness,Modesty,FALSE,,,,0.5,0.5,0,1,0.5,0.5,1,0.5,0.5,0,1,1,0.5,0.5,0,1,0.5,1,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0,0.5,1,0.5,1,0.5,0,1,1,0.5,0.5,0.5,1,0,0.5,1,0.5,0.5,0,0.5
Asking to share a table with strangers at a crowded bar or pub.,Play,Food & Drink,,,Extraversion,Assertiveness,TRUE,Agreeableness,Modesty,FALSE,Substances,,,0.5,0.5,0,1,0,0.5,1,0.5,0.5,0,1,1,0.5,0.5,0,1,0.5,1,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0,0.5,1,0.5,1,0.5,0,1,1,0.5,0.5,0.5,1,0,0.5,1,0.5,0.5,0,0.5
Approaching an attractive stranger at a party.,Love & Sex,In Public,,,Extraversion,Assertiveness,TRUE,Agreeableness,Compliance,FALSE,Relationship,,,0.5,0.5,0,1,0.5,0.5,1,0.5,0.5,0,1,1,0.5,0.5,0,1,0.5,1,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0,0.5,1,0.5,1,0.5,0,1,1,0.5,0.5,0.5,1,0,0.5,1,0.5,0.5,0,0.5
Hitting on a stranger in a rideshare car.,Love & Sex,In Public,,,Extraversion,Assertiveness,TRUE,Agreeableness,Compliance,FALSE,Relationship,,,0.5,-0.5,0,1,0.5,0.5,1,0.5,0.5,0,1,1,0.5,0.5,0,1,0.5,1,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0,0.5,1,0.5,1,0.5,0,1,1,0.5,0.5,0.5,1,0,0.5,1,0.5,0.5,0,0.5
Hitting on a stranger on a train.,Love & Sex,In Public,Travel,,Extraversion,Assertiveness,TRUE,Natural_Reactions,Self-Consciousness,FALSE,Relationship,,,0.5,0.5,0,1,0.5,0.5,1,0.5,0.5,0,1,1,0.5,0.5,0,1,0.5,1,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0,0.5,1,0.5,1,0.5,0,1,1,0.5,0.5,0.5,1,0,0.5,1,0.5,0.5,0,0.5
Inviting a person you're dating to an event that's really important to you.,Love & Sex,In Public,,,Extraversion,Assertiveness,TRUE,Natural_Reactions,Anxiety,FALSE,,,,0.5,0.5,0,1,0.5,0.5,1,0.5,0.5,0,1,1,0.5,0.5,0,1,0.5,1,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0,0.5,1,0.5,1,0.5,0,1,1,0.5,0.5,0.5,1,0,0.5,1,0.5,0.5,0,0.5
Not letting the passenger pick the music in your car.,In Public,Friends,,,Openness,Willingness to Experiment,FALSE,Agreeableness,Modesty,FALSE,Transport,,,-0.5,-0.5,-0.5,0.5,0,0,1,0,0,-0.5,-0.5,-0.5,-0.5,0,-0.5,0.5,0,0.5,-0.5,0,-0.5,-0.5,0,-0.5,0,0.5,0,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,0,-0.5,-0.5,0,-0.5,0,-0.5,-0.5,0,-0.5,0,-0.5,-0.5,0
Asking the person you're dating about their sexual history.,Love & Sex,,,,Extraversion,Assertiveness,TRUE,Agreeableness,Modesty,FALSE,Relationship,,,0.5,0.5,0,1,0.5,0.5,1,0.5,0.5,0,1,1,0.5,0.5,0,1,0.5,1,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0,0.5,1,0.5,1,0.5,0,1,1,0.5,0.5,0.5,1,0,0.5,1,0.5,0.5,0,0.5
Going to a winery to taste wines.,Food & Drink,Play,,,Openness,Artistic Interests,TRUE,Extraversion,Activity Level,TRUE,Substances,,,0.5,0.5,0,0,0.5,0.5,0,-0.5,0.5,0,0,0,-0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,-0.5,0.5,0,0.5,-0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,-0.5,0.5,0,0,0.5,0,0.5,-0.5,0,-0.5
Letting your kids make their own mistakes.,Home & Family,,,,Openness,Willingness to Experiment,TRUE,Natural_Reactions,Anxiety,FALSE,Parental,,,0,0,-0.5,0.5,0,0,0.5,0,0,-0.5,0.5,0.5,0,0,-0.5,0.5,0,0.5,-0.5,0,0.5,0.5,0,0,0,0.5,0,0,0.5,0,-0.5,0,0.5,0,0.5,0,-0.5,0.5,0.5,0,0,0,0.5,-0.5,0,0.5,0,0,-0.5,0
Telling your parents to shut up.,Home & Family,,,,Extraversion,Assertiveness,TRUE,Agreeableness,Compliance,FALSE,,,,0.5,0.5,0,1,0.5,0.5,1,0.5,0.5,0,1,1,0.5,0.5,0,1,0.5,1,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0,0.5,1,0.5,1,0.5,0,1,1,0.5,0.5,0.5,1,0,0.5,1,0.5,0.5,0,0.5
Smoking marijuana with non-smokers around.,In Public,Habits,,,Openness,Willingness to Experiment,TRUE,Agreeableness,Compliance,FALSE,Substances,,,0,0,-0.5,0.5,0,0,0.5,0,0,-0.5,0.5,0.5,0,0,-0.5,0.5,0,0.5,-0.5,0,0.5,0.5,0,0,0,0.5,0,0,0.5,0,-0.5,0,0.5,0,0.5,0,-0.5,0.5,0.5,0,0,0,0.5,-0.5,0,0.5,0,0,-0.5,0
Googling a fact your date doesn't believe to prove them wrong.,Friends,Internet Etc,Habits,,Agreeableness,Trust in others,FALSE,Openness,Intellectual Curiosity,TRUE,Relationship,,,-0.5,0,-0.5,0,0.5,-0.5,0,0,-0.5,-0.5,-0.5,0,0,-0.5,-0.5,0,-0.5,0,-0.5,-0.5,0,0,-0.5,0,-0.5,0,-0.5,0,0,-0.5,-0.5,-0.5,0,-0.5,0,-0.5,-0.5,0,0,-0.5,0,-0.5,0,-0.5,-0.5,0,-0.5,0,-0.5,0
Trying a threesome with the person you just started seeing.,Love & Sex,,,,Openness,Willingness to Experiment,TRUE,Extraversion,Excitement-Seeking,TRUE,Relationship,,,-0.5,-1,-0.5,-0.5,-1,-0.5,0.5,0,-0.5,-0.5,0.5,0.5,0,-1,-0.5,-1,-1,0.5,-1,-1,0.5,-1,-1,0,-1,0.5,-0.5,0,0.5,-1,-0.5,-1,0.5,-1,-1,0,-0.5,0.5,-1,-1,0,0,-1,-0.5,-1,0.5,0,-1,-0.5,-1
Telling gross stories.,Friends,,,,Openness,Tolerance for Diversity,TRUE,Natural_Reactions,Sensitivity to Stress,FALSE,,,,-0.5,0,-0.5,0.5,-0.5,0,0.5,0,0,-0.5,0.5,-0.5,-0.5,0,-0.5,0.5,0,0.5,-0.5,-0.5,0.5,0.5,-0.5,0,-0.5,0.5,0,0,0.5,-0.5,-0.5,0,0.5,-0.5,0.5,0,-0.5,0.5,0.5,-0.5,0,-0.5,0.5,-0.5,0,0.5,0,0,-0.5,0
Making up stories for your kids.,Home & Family,,,,Openness,Imagination,TRUE,Agreeableness,Sympathy,TRUE,Parental,,,0.5,0.5,0,0,0.5,0.5,0,-0.5,0.5,0,0,0,-0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,-0.5,0.5,0,0.5,-0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,-0.5,0.5,0,0,0.5,0,0.5,-0.5,0,-0.5
Making up your own moves on the dance floor.,Play,,,,Openness,Imagination,TRUE,Openness,Willingness to Experiment,TRUE,,,,0.5,0.5,0,0,0.5,0.5,0,-0.5,0.5,0,0,0,-0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,-0.5,0.5,0,0.5,-0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,-0.5,0.5,0,0,0.5,0,0.5,-0.5,0,-0.5
Answering honestly when a friend sees you crying and asks what is wrong.,Personal,Friends,,,Openness,Depth of Emotions,TRUE,Agreeableness,Trust in others,TRUE,Trust,,,0.5,0.5,0,0,0.5,0.5,0,-0.5,0.5,0,0,0,-0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,-0.5,0.5,0,0.5,-0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,-0.5,0.5,0,0,0.5,0,0.5,-0.5,0,-0.5
"Saying ""nothing"" when a friend sees you crying and asks what is wrong.",Personal,Friends,,,Openness,Depth of Emotions,TRUE,Agreeableness,Trust in others,FALSE,Trust,,,0.5,0.5,0,0,0.5,0.5,0,-0.5,0.5,0,0,0,-0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,-0.5,0.5,0,0.5,-0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,-0.5,0.5,0,0,0.5,0,0.5,-0.5,0,-0.5
Crying at a movie.,Play,Personal,,,Openness,Depth of Emotions,TRUE,Natural_Reactions,Self-Consciousness,FALSE,,,,0.5,0.5,0,0,0.5,0.5,0,-0.5,0.5,0,0,0,-0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,-0.5,0.5,0,0.5,-0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,-0.5,0.5,0,0,0.5,0,0.5,-0.5,0,-0.5
Crying on the street when you're having a bad day.,Play,Personal,,,Openness,Depth of Emotions,TRUE,Natural_Reactions,Self-Consciousness,FALSE,,,,0.5,0.5,0,0,0.5,0.5,0,-0.5,0.5,0,0,0,-0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,-0.5,0.5,0,0.5,-0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,-0.5,0.5,0,0,0.5,0,0.5,-0.5,0,-0.5
Going to a dive bar.,Play,Food & Drink,Friends,,Openness,Willingness to Experiment,TRUE,Conscientiousness,Orderliness,FALSE,Substances,,,0,0,-0.5,0.5,0,0,0.5,0,0,-0.5,0.5,0.5,0,0,-0.5,0.5,0,0.5,-0.5,0,0.5,0.5,0,0,0,0.5,0,0,0.5,0,-0.5,0,0.5,0,0.5,0,-0.5,0.5,0.5,0,0,0,0.5,-0.5,0,0.5,0,0,-0.5,0
Eating at a really expensive restaurant to try the food.,Food & Drink,Money,,,Openness,Artistic Interests,TRUE,Conscientiousness,Self-Discipline,FALSE,,,,0.5,0.5,0,0,0.5,0.5,0,-0.5,0.5,0,0,0,-0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,-0.5,0.5,0,0.5,-0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,-0.5,0.5,0,0,0.5,0,0.5,-0.5,0,-0.5
Trying exotic or unusual food.,Food & Drink,,,,Openness,Artistic Interests,TRUE,Natural_Reactions,Anxiety,FALSE,,,,0.5,0.5,0,0,0.5,0.5,0,-0.5,0.5,0,0,0,-0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,-0.5,0.5,0,0.5,-0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,-0.5,0.5,0,0,0.5,0,0.5,-0.5,0,-0.5
